2024-08-24 02:50:45.6233886 +0700 +07 m=+19.255813101~192.168.10.73~POST~/api/v1/transaction~ "Header=>User-Agent:PostmanRuntime/7.41.1 | Accept:*/* | Accept-Encoding:gzip, deflate, br | Connection:keep-alive | Content-Length:184 | Content-Type:application/json"~{    "IdKonsumen": "TEs",    "NomorKontrak": "545456",    "OTR": "100000",    "AdminFee": "10000",    "JumlahCicilan": "4",    "JumlahBunga": "2",    "NamaAsset": "HP"}~500~2024-08-24 02:50:45.7610259 +0700 +07 m=+19.393450401~137.6373ms~Error, Bind Json Data
2024-08-24 02:52:12.5677445 +0700 +07 m=+106.200169001~192.168.10.73~POST~/api/v1/transaction~ "Header=>Accept-Encoding:gzip, deflate, br | Connection:keep-alive | Content-Length:176 | Content-Type:application/json | User-Agent:PostmanRuntime/7.41.1 | Accept:*/*"~{    "IdKonsumen": "TEs",    "NomorKontrak": "545456",    "OTR": 100000,    "AdminFee": 10000,    "JumlahCicilan": 4,    "JumlahBunga": 2,    "NamaAsset": "HP"}~500~2024-08-24 02:52:12.6689435 +0700 +07 m=+106.301368001~101.199ms~Error - UserID is not valid
2024-08-24 02:58:38.4345659 +0700 +07 m=+5.157095401~192.168.10.73~POST~/api/v1/transaction~ "Header=>Content-Type:application/json | User-Agent:PostmanRuntime/7.41.1 | Accept:*/* | Accept-Encoding:gzip, deflate, br | Connection:keep-alive | Content-Length:176"~{    "IdKonsumen": "TEs",    "NomorKontrak": "545456",    "OTR": 100000,    "AdminFee": 10000,    "JumlahCicilan": 4,    "JumlahBunga": 2,    "NamaAsset": "HP"}~500~2024-08-24 02:58:38.5307913 +0700 +07 m=+5.253320801~96.2254ms~Error - mendapatkan Limit Kredit
2024-08-24 03:01:04.2583693 +0700 +07 m=+4.415045801~192.168.10.73~POST~/api/v1/transaction~ "Header=>Accept:*/* | Accept-Encoding:gzip, deflate, br | Connection:keep-alive | Content-Length:176 | Content-Type:application/json | User-Agent:PostmanRuntime/7.41.1"~{    "IdKonsumen": "TEs",    "NomorKontrak": "545456",    "OTR": 100000,    "AdminFee": 10000,    "JumlahCicilan": 4,    "JumlahBunga": 2,    "NamaAsset": "HP"}~500~2024-08-24 03:01:04.3086111 +0700 +07 m=+4.465287601~50.2418ms~Error Execute data
2024-08-24 03:09:11.8980229 +0700 +07 m=+87.249918701~192.168.10.73~POST~/api/v1/transaction~ "Header=>Accept:*/* | Accept-Encoding:gzip, deflate, br | Connection:keep-alive | Content-Length:176 | Content-Type:application/json | User-Agent:PostmanRuntime/7.41.1"~{    "IdKonsumen": "TEs",    "NomorKontrak": "545456",    "OTR": 100000,    "AdminFee": 10000,    "JumlahCicilan": 4,    "JumlahBunga": 2,    "NamaAsset": "HP"}~500~2024-08-24 03:09:11.9054074 +0700 +07 m=+87.257303201~7.3845ms~Error running "SELECT LimitKredit FROM limit_kredit where IdKonsumen='TEs' and tenor='%!f(int=4)'": sql: no rows in result set
2024-08-24 03:09:57.7213051 +0700 +07 m=+4.100163001~192.168.10.73~POST~/api/v1/transaction~ "Header=>Accept-Encoding:gzip, deflate, br | Connection:keep-alive | Content-Length:176 | Content-Type:application/json | User-Agent:PostmanRuntime/7.41.1 | Accept:*/*"~{    "IdKonsumen": "TEs",    "NomorKontrak": "545456",    "OTR": 100000,    "AdminFee": 10000,    "JumlahCicilan": 4,    "JumlahBunga": 2,    "NamaAsset": "HP"}~500~2024-08-24 03:09:57.730387 +0700 +07 m=+4.109244901~9.0819ms~Error running "SELECT LimitKredit FROM limit_kredit where IdKonsumen='TEs' and tenor='%!f(int=4)'": sql: no rows in result set
2024-08-24 03:10:49.7769289 +0700 +07 m=+3.726246201~192.168.10.73~POST~/api/v1/transaction~ "Header=>Accept:*/* | Accept-Encoding:gzip, deflate, br | Connection:keep-alive | Content-Length:176 | Content-Type:application/json | User-Agent:PostmanRuntime/7.41.1"~{    "IdKonsumen": "TEs",    "NomorKontrak": "545456",    "OTR": 100000,    "AdminFee": 10000,    "JumlahCicilan": 4,    "JumlahBunga": 2,    "NamaAsset": "HP"}~500~2024-08-24 03:10:49.7850595 +0700 +07 m=+3.734376801~8.1306ms~Error running "SELECT LimitKredit FROM limit_kredit where IdKonsumen='TEs' and tenor='4'": sql: no rows in result set
2024-08-24 03:11:06.8598769 +0700 +07 m=+20.809194201~192.168.10.73~POST~/api/v1/transaction~ "Header=>User-Agent:PostmanRuntime/7.41.1 | Accept:*/* | Accept-Encoding:gzip, deflate, br | Connection:keep-alive | Content-Length:174 | Content-Type:application/json"~{    "IdKonsumen": "1",    "NomorKontrak": "545456",    "OTR": 100000,    "AdminFee": 10000,    "JumlahCicilan": 4,    "JumlahBunga": 2,    "NamaAsset": "HP"}~500~2024-08-24 03:11:06.8664642 +0700 +07 m=+20.815781501~6.5873ms~Limit kredit untuk tenor 4 bulan
2024-08-24 03:12:48.4221051 +0700 +07 m=+122.371422401~192.168.10.73~POST~/api/v1/transaction~ "Header=>Accept-Encoding:gzip, deflate, br | Connection:keep-alive | Content-Length:172 | Content-Type:application/json | User-Agent:PostmanRuntime/7.41.1 | Accept:*/*"~{    "IdKonsumen": "1",    "NomorKontrak": "545456",    "OTR": 10000,    "AdminFee": 1000,    "JumlahCicilan": 4,    "JumlahBunga": 2,    "NamaAsset": "HP"}~500~2024-08-24 03:12:48.4285236 +0700 +07 m=+122.377840901~6.4185ms~Limit kredit untuk tenor 4 bulan
2024-08-24 03:13:24.7302935 +0700 +07 m=+3.699207101~192.168.10.73~POST~/api/v1/transaction~ "Header=>Accept-Encoding:gzip, deflate, br | Connection:keep-alive | Content-Length:172 | Content-Type:application/json | User-Agent:PostmanRuntime/7.41.1 | Accept:*/*"~{    "IdKonsumen": "1",    "NomorKontrak": "545456",    "OTR": 10000,    "AdminFee": 1000,    "JumlahCicilan": 4,    "JumlahBunga": 2,    "NamaAsset": "HP"}~500~2024-08-24 03:13:24.7381168 +0700 +07 m=+3.707030401~7.8233ms~Limit kredit untuk tenor 4 bulan tidak mencukupi
2024-08-24 03:16:22.5716307 +0700 +07 m=+4.127182901~192.168.10.73~POST~/api/v1/transaction~ "Header=>Content-Type:application/json | User-Agent:PostmanRuntime/7.41.1 | Accept:*/* | Accept-Encoding:gzip, deflate, br | Connection:keep-alive | Content-Length:172"~{    "IdKonsumen": "1",    "NomorKontrak": "545456",    "OTR": 10000,    "AdminFee": 1000,    "JumlahCicilan": 4,    "JumlahBunga": 2,    "NamaAsset": "HP"}~500~2024-08-24 03:16:22.5790173 +0700 +07 m=+4.134569501~7.3866ms~Limit kredit untuk tenor 4 bulan tidak mencukupi. Sisa limit krdit saat ini %!d(float64=0)
